project,issuekey,issuetype,rnk,status,leading_status,lagging_status,category,leading_category,lagging_category,created,started,finished,cycle,rolling_cycle
BBSDEV,BBSDEV-10224,Bug,1,Open,,Closed,ToDo,,Done,2017-10-06 07:51:00,2017-10-06 07:51:00,2018-01-16 05:54:27.546,101.0,101.0
BBSDEV,BBSDEV-10224,Bug,2,Closed,Open,,Done,ToDo,,2017-10-06 07:51:00,2018-01-16 05:54:27.546,,,101.0
BBSDEV,BBSDEV-13655,Task,1,Open,,Closed,ToDo,,Done,2016-08-15 06:53:00,2016-08-15 06:53:00,2018-08-10 05:13:27.403,724.0,724.0
BBSDEV,BBSDEV-13655,Task,2,Closed,Open,,Done,ToDo,,2016-08-15 06:53:00,2018-08-10 05:13:27.403,,,724.0
BBSDEV,BBSDEV-15138,Epic,1,Open,,Triage,ToDo,,ToDo,2017-04-21 09:47:00,2017-04-21 09:47:00,2018-05-28 03:51:00.559,401.0,401.0
BBSDEV,BBSDEV-15138,Epic,2,Triage,Open,Dev Queue,ToDo,ToDo,Doing,2017-04-21 09:47:00,2018-05-28 03:51:00.559,2018-07-06 02:58:08.125,38.0,439.0
BBSDEV,BBSDEV-15138,Epic,3,Dev Queue,Triage,In Development,Doing,ToDo,Doing,2017-04-21 09:47:00,2018-07-06 02:58:08.125,2018-07-19 22:12:53.206,13.0,452.0
BBSDEV,BBSDEV-15138,Epic,4,In Development,Dev Queue,Done,Doing,Doing,Done,2017-04-21 09:47:00,2018-07-19 22:12:53.206,2019-02-25 04:06:18.757,220.0,672.0
BBSDEV,BBSDEV-15138,Epic,5,Done,In Development,,Done,Doing,,2017-04-21 09:47:00,2019-02-25 04:06:18.757,,,672.0
BBSDEV,BBSDEV-15718,Task,1,Triage,,Closed,ToDo,,Done,2017-07-15 05:30:00,2017-07-15 05:30:00,2018-04-17 22:32:38.090,276.0,276.0
BBSDEV,BBSDEV-15718,Task,2,Closed,Triage,,Done,ToDo,,2017-07-15 05:30:00,2018-04-17 22:32:38.090,,,276.0
BBSDEV,BBSDEV-15875,Task,1,Open,,In progress,ToDo,,Doing,2017-08-07 14:01:00,2017-08-07 14:01:00,2018-11-30 02:16:14.731,479.0,479.0
BBSDEV,BBSDEV-15875,Task,2,In progress,Open,Code review,Doing,ToDo,Doing,2017-08-07 14:01:00,2018-11-30 02:16:14.731,2018-12-10 00:12:37.817,9.0,488.0
BBSDEV,BBSDEV-15875,Task,3,Code review,In progress,Triage,Doing,Doing,ToDo,2017-08-07 14:01:00,2018-12-10 00:12:37.817,2019-02-01 06:33:06.875,53.0,541.0
BBSDEV,BBSDEV-15875,Task,4,Triage,Code review,Open,ToDo,Doing,ToDo,2017-08-07 14:01:00,2019-02-01 06:33:06.875,2019-02-01 06:33:12.778,0.0,541.0
BBSDEV,BBSDEV-15875,Task,5,Open,Triage,,ToDo,ToDo,,2017-08-07 14:01:00,2019-02-01 06:33:12.778,,,541.0
BBSDEV,BBSDEV-15927,Epic,1,Triage,,Open,ToDo,,ToDo,2017-08-14 00:59:00,2017-08-14 00:59:00,2017-12-08 05:17:06.373,116.0,116.0
BBSDEV,BBSDEV-15927,Epic,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-08-14 00:59:00,2017-12-08 05:17:06.373,2017-12-10 23:24:36.146,2.0,118.0
BBSDEV,BBSDEV-15927,Epic,3,In progress,Open,Closed,Doing,ToDo,Done,2017-08-14 00:59:00,2017-12-10 23:24:36.146,2018-04-24 04:49:55.412,134.0,252.0
BBSDEV,BBSDEV-15927,Epic,4,Closed,In progress,Done,Done,Doing,Done,2017-08-14 00:59:00,2018-04-24 04:49:55.412,2018-05-28 03:51:02.604,33.0,285.0
BBSDEV,BBSDEV-15927,Epic,5,Done,Closed,,Done,Done,,2017-08-14 00:59:00,2018-05-28 03:51:02.604,,,285.0
BBSDEV,BBSDEV-15949,Epic,1,Triage,,Open,ToDo,,ToDo,2017-08-16 05:43:00,2017-08-16 05:43:00,2017-12-08 05:17:05.659,113.0,113.0
BBSDEV,BBSDEV-15949,Epic,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-08-16 05:43:00,2017-12-08 05:17:05.659,2017-12-10 23:28:42.735,2.0,115.0
BBSDEV,BBSDEV-15949,Epic,3,In progress,Open,In Development,Doing,ToDo,Doing,2017-08-16 05:43:00,2017-12-10 23:28:42.735,2018-05-28 03:51:01.805,168.0,283.0
BBSDEV,BBSDEV-15949,Epic,4,In Development,In progress,Done,Doing,Doing,Done,2017-08-16 05:43:00,2018-05-28 03:51:01.805,2018-09-12 04:35:12.626,107.0,390.0
BBSDEV,BBSDEV-15949,Epic,5,Done,In Development,,Done,Doing,,2017-08-16 05:43:00,2018-09-12 04:35:12.626,,,390.0
BBSDEV,BBSDEV-15955,Task,1,Open,,Closed,ToDo,,Done,2017-08-16 10:23:00,2017-08-16 10:23:00,2017-12-13 10:50:41.269,119.0,119.0
BBSDEV,BBSDEV-15955,Task,2,Closed,Open,,Done,ToDo,,2017-08-16 10:23:00,2017-12-13 10:50:41.269,,,119.0
BBSDEV,BBSDEV-15963,Task,1,Open,,Closed,ToDo,,Done,2017-08-17 17:58:00,2017-08-17 17:58:00,2018-12-03 23:37:39.621,473.0,473.0
BBSDEV,BBSDEV-15963,Task,2,Closed,Open,,Done,ToDo,,2017-08-17 17:58:00,2018-12-03 23:37:39.621,,,473.0
BBSDEV,BBSDEV-16045,Improvement,1,Triage,,Open,ToDo,,ToDo,2017-08-31 06:09:00,2017-08-31 06:09:00,2018-11-02 06:16:15.216,428.0,428.0
BBSDEV,BBSDEV-16045,Improvement,2,Open,Triage,,ToDo,ToDo,,2017-08-31 06:09:00,2018-11-02 06:16:15.216,,,428.0
BBSDEV,BBSDEV-16078,Improvement,1,Triage,,Open,ToDo,,ToDo,2017-09-06 06:11:00,2017-09-06 06:11:00,2018-11-02 06:16:14.871,422.0,422.0
BBSDEV,BBSDEV-16078,Improvement,2,Open,Triage,,ToDo,ToDo,,2017-09-06 06:11:00,2018-11-02 06:16:14.871,,,422.0
BBSDEV,BBSDEV-16120,Improvement,1,Triage,,Open,ToDo,,ToDo,2017-09-12 06:03:00,2017-09-12 06:03:00,2018-11-02 06:16:15.327,416.0,416.0
