project,issuekey,issuetype,from_flow_id,to_flow_id,cycle,rolling_cycle
BBSDEV,BBSDEV-10224,Bug,,1000001,101.0,101.0
BBSDEV,BBSDEV-10224,Bug,1000001,2000006,,101.0
BBSDEV,BBSDEV-13655,Task,,1000001,724.0,724.0
BBSDEV,BBSDEV-13655,Task,1000001,2000006,,724.0
BBSDEV,BBSDEV-15138,Epic,,1000001,401.0,401.0
BBSDEV,BBSDEV-15138,Epic,1000001,2010006,38.0,439.0
BBSDEV,BBSDEV-15138,Epic,2010006,3014001,13.0,452.0
BBSDEV,BBSDEV-15138,Epic,3014001,4014002,220.0,672.0
BBSDEV,BBSDEV-15138,Epic,4014002,5010001,,672.0
BBSDEV,BBSDEV-15718,Task,,1010006,276.0,276.0
BBSDEV,BBSDEV-15718,Task,1010006,2000006,,276.0
BBSDEV,BBSDEV-15875,Task,,1000001,479.0,479.0
BBSDEV,BBSDEV-15875,Task,1000001,2010014,9.0,488.0
BBSDEV,BBSDEV-15875,Task,2010014,3010003,53.0,541.0
BBSDEV,BBSDEV-15875,Task,3010003,4010006,0.0,541.0
BBSDEV,BBSDEV-15875,Task,4010006,5000001,,541.0
BBSDEV,BBSDEV-15927,Epic,,1010006,116.0,116.0
BBSDEV,BBSDEV-15927,Epic,1010006,2000001,2.0,118.0
BBSDEV,BBSDEV-15927,Epic,2000001,3010014,134.0,252.0
BBSDEV,BBSDEV-15927,Epic,3010014,4000006,33.0,285.0
BBSDEV,BBSDEV-15927,Epic,4000006,5010001,,285.0
BBSDEV,BBSDEV-15949,Epic,,1010006,113.0,113.0
BBSDEV,BBSDEV-15949,Epic,1010006,2000001,2.0,115.0
BBSDEV,BBSDEV-15949,Epic,2000001,3010014,168.0,283.0
BBSDEV,BBSDEV-15949,Epic,3010014,4014002,107.0,390.0
BBSDEV,BBSDEV-15949,Epic,4014002,5010001,,390.0
BBSDEV,BBSDEV-15955,Task,,1000001,119.0,119.0
BBSDEV,BBSDEV-15955,Task,1000001,2000006,,119.0
BBSDEV,BBSDEV-15963,Task,,1000001,473.0,473.0
BBSDEV,BBSDEV-15963,Task,1000001,2000006,,473.0
BBSDEV,BBSDEV-16045,Improvement,,1010006,428.0,428.0
BBSDEV,BBSDEV-16045,Improvement,1010006,2000001,,428.0
BBSDEV,BBSDEV-16078,Improvement,,1010006,422.0,422.0
BBSDEV,BBSDEV-16078,Improvement,1010006,2000001,,422.0
BBSDEV,BBSDEV-16120,Improvement,,1010006,416.0,416.0
BBSDEV,BBSDEV-16120,Improvement,1010006,2000001,,416.0
BBSDEV,BBSDEV-16157,Improvement,,1010006,173.0,173.0
BBSDEV,BBSDEV-16157,Improvement,1010006,2000006,,173.0
BBSDEV,BBSDEV-16203,Improvement,,1010006,67.0,67.0
BBSDEV,BBSDEV-16203,Improvement,1010006,2000001,0.0,67.0
BBSDEV,BBSDEV-16203,Improvement,2000001,3010014,0.0,67.0
BBSDEV,BBSDEV-16203,Improvement,3010014,4010003,0.0,67.0
BBSDEV,BBSDEV-16203,Improvement,4010003,5010014,1.0,68.0
BBSDEV,BBSDEV-16203,Improvement,5010014,6010003,76.0,144.0
BBSDEV,BBSDEV-16203,Improvement,6010003,7000006,39.0,183.0
BBSDEV,BBSDEV-16203,Improvement,7000006,8000001,13.0,196.0
BBSDEV,BBSDEV-16203,Improvement,8000001,9010014,,196.0
BBSDEV,BBSDEV-16220,Epic,,1000001,105.0,105.0
BBSDEV,BBSDEV-16220,Epic,1000001,2010014,44.0,149.0
BBSDEV,BBSDEV-16220,Epic,2010014,3000006,73.0,222.0
BBSDEV,BBSDEV-16220,Epic,3000006,4010001,,222.0
BBSDEV,BBSDEV-16222,Epic,,1000001,222.0,222.0
BBSDEV,BBSDEV-16222,Epic,1000001,2010006,0.0,222.0
BBSDEV,BBSDEV-16222,Epic,2010006,3010001,2.0,224.0
BBSDEV,BBSDEV-16222,Epic,3010001,4014001,0.0,224.0
BBSDEV,BBSDEV-16222,Epic,4014001,5010001,,224.0
BBSDEV,BBSDEV-16223,Epic,,1000001,222.0,222.0
BBSDEV,BBSDEV-16223,Epic,1000001,2010006,3.0,225.0
BBSDEV,BBSDEV-16223,Epic,2010006,3010001,,225.0
BBSDEV,BBSDEV-16227,Sub-task,,1000001,120.0,120.0
BBSDEV,BBSDEV-16227,Sub-task,1000001,2000006,,120.0
BBSDEV,BBSDEV-16228,Sub-task,,1010006,90.0,90.0
BBSDEV,BBSDEV-16228,Sub-task,1010006,2000001,0.0,90.0
BBSDEV,BBSDEV-16228,Sub-task,2000001,3010014,29.0,119.0
BBSDEV,BBSDEV-16228,Sub-task,3010014,4000006,,119.0
BBSDEV,BBSDEV-16246,Task,,1000001,52.0,52.0
BBSDEV,BBSDEV-16246,Task,1000001,2000006,,52.0
BBSDEV,BBSDEV-16261,Task,,1010006,43.0,43.0
BBSDEV,BBSDEV-16261,Task,1010006,2000001,0.0,43.0
BBSDEV,BBSDEV-16261,Task,2000001,3010014,0.0,43.0
BBSDEV,BBSDEV-16261,Task,3010014,4010003,3.0,46.0
BBSDEV,BBSDEV-16261,Task,4010003,5012101,0.0,46.0
BBSDEV,BBSDEV-16261,Task,5012101,6000006,,46.0
BBSDEV,BBSDEV-16264,Task,,1010006,43.0,43.0
BBSDEV,BBSDEV-16264,Task,1010006,2000001,0.0,43.0
BBSDEV,BBSDEV-16264,Task,2000001,3010014,0.0,43.0
BBSDEV,BBSDEV-16264,Task,3010014,4010003,3.0,46.0
BBSDEV,BBSDEV-16264,Task,4010003,5000006,,46.0
BBSDEV,BBSDEV-16266,Task,,1000001,41.0,41.0
BBSDEV,BBSDEV-16266,Task,1000001,2010014,5.0,46.0
BBSDEV,BBSDEV-16266,Task,2010014,3010003,4.0,50.0
BBSDEV,BBSDEV-16266,Task,3010003,4012101,1.0,51.0
BBSDEV,BBSDEV-16266,Task,4012101,5000006,,51.0
BBSDEV,BBSDEV-16269,Task,,1000001,47.0,47.0
BBSDEV,BBSDEV-16269,Task,1000001,2010014,0.0,47.0
BBSDEV,BBSDEV-16269,Task,2010014,3010003,0.0,47.0
BBSDEV,BBSDEV-16269,Task,3010003,4012101,3.0,50.0
BBSDEV,BBSDEV-16269,Task,4012101,5000006,,50.0
BBSDEV,BBSDEV-16278,Task,,1010006,42.0,42.0
BBSDEV,BBSDEV-16278,Task,1010006,2000001,0.0,42.0
BBSDEV,BBSDEV-16278,Task,2000001,3010014,0.0,42.0
BBSDEV,BBSDEV-16278,Task,3010014,4010003,2.0,44.0
BBSDEV,BBSDEV-16278,Task,4010003,5000006,,44.0
BBSDEV,BBSDEV-16282,Task,,1000001,45.0,45.0
BBSDEV,BBSDEV-16282,Task,1000001,2000006,,45.0
BBSDEV,BBSDEV-16305,Improvement,,1000001,80.0,80.0
BBSDEV,BBSDEV-16305,Improvement,1000001,2000006,,80.0
BBSDEV,BBSDEV-16312,Task,,1010006,39.0,39.0
